epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.6083333492279053,0.5899315476417542,0.6069658398628235,999.0,985.0,0.7201531529426575,0.01,0.21728086471557617,0.6067113876342773,0.587175190448761,0.5837500095367432,0.6119791865348816,1415.0,1401.0,0.5,0.5188541412353516,0.5,240.0,240.0,6.822739124298096,0.0,0.5,0.5,0.5,0.5,240.0,240.0
1,0.6583333611488342,0.6879993081092834,0.6482400298118591,673.0,680.0,0.6488826870918274,0.01,0.29572901129722595,0.6482133865356445,0.6471198797225952,0.6494791507720947,0.6458333134651184,1240.0,1247.0,0.5,0.5,0.5,240.0,240.0,7.38372278213501,0.0,0.5,0.5,0.5,0.5,240.0,240.0
2,0.6729166507720947,0.7302019000053406,0.6687092185020447,631.0,645.0,0.6109502911567688,0.01,0.33583754301071167,0.6694047451019287,0.6664943099021912,0.6713541746139526,0.6640625,1275.0,1289.0,0.5,0.5511696934700012,0.5,240.0,240.0,0.8852540254592896,0.0,0.5,0.5,0.5,0.5,240.0,240.0
3,0.6994791626930237,0.7553327083587646,0.6955405473709106,581.0,590.0,0.5932565331459045,0.01,0.3906487226486206,0.6965618133544922,0.6941420435905457,0.6973958611488342,0.6927083134651184,1330.0,1339.0,0.5,0.5616623163223267,0.5,240.0,240.0,1.1837002038955688,0.0,0.5,0.5,0.5,0.5,240.0,240.0
4,0.7338541746139526,0.795246422290802,0.7331340312957764,511.0,515.0,0.549393355846405,0.0009999999,0.4658844769001007,0.7333175539970398,0.732328474521637,0.7338541746139526,0.7317708134651184,1405.0,1409.0,0.5291666388511658,0.5666536688804626,0.5097620487213135,243.0,205.0,0.777405321598053,0.06452159583568573,0.5346384644508362,0.5361990928649902,0.4937500059604645,0.5729166865348816,275.0,237.0
5,0.7401041388511658,0.8092936873435974,0.7374324798583984,502.0,507.0,0.5314072966575623,0.0009999999,0.4747037887573242,0.7382754683494568,0.7366234064102173,0.7385416626930237,0.7359374761581421,1413.0,1418.0,0.6208333373069763,0.6547113656997681,0.5370000600814819,256.0,120.0,0.6639599204063416,0.22250886261463165,0.5888156294822693,0.6511628031730652,0.46666666865348816,0.75,360.0,224.0
6,0.7541666626930237,0.8227912187576294,0.7530600428581238,478.0,466.0,0.5170460939407349,0.0009999999,0.5085874199867249,0.7533389329910278,0.7557651996612549,0.7510416507720947,0.7572916746139526,1454.0,1442.0,0.5854166746139526,0.6335568428039551,0.534179151058197,242.0,167.0,0.6764853000640869,0.14808031916618347,0.567620038986206,0.5876542925834656,0.4958333373069763,0.6520833373069763,313.0,238.0
7,0.7619791626930237,0.8290358781814575,0.761944591999054,459.0,454.0,0.5097121000289917,0.0009999999,0.524743378162384,0.7616597414016724,0.7629242539405823,0.760937511920929,0.7635416388511658,1466.0,1461.0,0.606249988079071,0.6181966066360474,0.5970108509063721,200.0,174.0,0.7222025990486145,0.22091248631477356,0.6089856624603271,0.6167401075363159,0.5833333134651184,0.637499988079071,306.0,280.0
8,0.7572916746139526,0.8395757675170898,0.758404552936554,466.0,460.0,0.4944606423377991,0.0009999999,0.5178815126419067,0.7582750916481018,0.7596656084060669,0.7572916746139526,0.7604166865348816,1460.0,1454.0,0.5854166746139526,0.6166905164718628,0.5781201124191284,204.0,195.0,0.7605458498001099,0.1685837209224701,0.5870506763458252,0.5859872698783875,0.574999988079071,0.59375,285.0,276.0
9,0.765625,0.8406585454940796,0.763144850730896,459.0,448.0,0.4935563802719116,9.999999e-05,0.5278178453445435,0.7623588442802429,0.7653221487998962,0.760937511920929,0.7666666507720947,1472.0,1461.0,0.6270833611488342,0.660681426525116,0.6272347569465637,184.0,168.0,0.7043147683143616,0.26690566539764404,0.6287391185760498,0.6379310488700867,0.6166666746139526,0.6499999761581421,312.0,296.0
10,0.7833333611488342,0.857994556427002,0.7839464545249939,411.0,420.0,0.47155970335006714,9.999999e-05,0.5673695802688599,0.7853504419326782,0.782270610332489,0.785937488079071,0.78125,1500.0,1509.0,0.5791666507720947,0.6245008111000061,0.57464998960495,207.0,197.0,0.7604790329933167,0.15843944251537323,0.5777034759521484,0.5808510780334473,0.5687500238418579,0.5895833373069763,283.0,273.0
11,0.784375011920929,0.8607157468795776,0.7821852564811707,418.0,418.0,0.4681529104709625,9.999999e-05,0.5646958947181702,0.7825658321380615,0.7822916507720947,0.7822916507720947,0.7822916507720947,1502.0,1502.0,0.5770833492279053,0.6314496397972107,0.576839029788971,205.0,199.0,0.7651512622833252,0.15840263664722443,0.5775401592254639,0.5801687836647034,0.5729166865348816,0.5854166746139526,281.0,275.0
12,0.7822916507720947,0.8576088547706604,0.781231701374054,416.0,426.0,0.47092828154563904,9.999999e-05,0.5616121292114258,0.7824169397354126,0.779274582862854,0.7833333611488342,0.778124988079071,1494.0,1504.0,0.5375000238418579,0.6009049415588379,0.5370370149612427,223.0,218.0,0.8808690309524536,0.08119197189807892,0.5424242615699768,0.5410526394844055,0.5354166626930237,0.5458333492279053,262.0,257.0
13,0.7848958373069763,0.8615610599517822,0.7855618000030518,413.0,410.0,0.4652548134326935,9.999999e-06,0.5714709162712097,0.7851992249488831,0.7861241698265076,0.7848958373069763,0.7864583134651184,1510.0,1507.0,0.574999988079071,0.6360959410667419,0.5733464956283569,206.0,202.0,0.7741950154304504,0.1500285118818283,0.5741161704063416,0.575630247592926,0.5708333253860474,0.5791666507720947,278.0,274.0
14,0.785937488079071,0.8644968867301941,0.7839486598968506,418.0,410.0,0.4619784653186798,9.999999e-06,0.5688838362693787,0.783222496509552,0.7855648398399353,0.7822916507720947,0.7864583134651184,1510.0,1502.0,0.6041666865348816,0.6590906977653503,0.6009782552719116,193.0,188.0,0.7409690022468567,0.20629173517227173,0.6021566390991211,0.6042105555534363,0.5979166626930237,0.6083333492279053,292.0,287.0
