epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.528124988079071,0.5200645327568054,0.5182997584342957,1167.0,1153.0,0.7349575161933899,0.01,0.04178350791335106,0.5205415487289429,0.5167644619941711,0.5137500166893005,0.5244791507720947,1247.0,1233.0,0.5,0.5,0.5,240.0,240.0,19.975778579711914,0.0,0.5,0.5,0.5,0.5,240.0,240.0
1,0.59375,0.621674656867981,0.5842371582984924,795.0,801.0,0.6763433814048767,0.01,0.1692267507314682,0.5852046608924866,0.5841121673583984,0.5859375,0.582812488079071,1119.0,1125.0,0.5,0.5,0.5,240.0,240.0,4.4961161613464355,0.0,0.5,0.5,0.5,0.5,240.0,240.0
2,0.6427083611488342,0.6770398616790771,0.6407498717308044,688.0,695.0,0.6529531478881836,0.01,0.27996623516082764,0.639644980430603,0.6393357515335083,0.6416666507720947,0.6380208134651184,1225.0,1232.0,0.5,0.5,0.5,240.0,240.0,5.632395267486572,0.0,0.5,0.5,0.5,0.5,240.0,240.0
3,0.6645833253860474,0.7215352058410645,0.6663810014724731,638.0,645.0,0.6205291152000427,0.01,0.3318558931350708,0.666765570640564,0.6652828454971313,0.6677083373069763,0.6640625,1275.0,1282.0,0.5,0.5,0.5,240.0,240.0,10.000375747680664,0.0,0.5,0.5,0.5,0.5,240.0,240.0
4,0.667187511920929,0.7249985337257385,0.6657926440238953,640.0,645.0,0.6158009767532349,0.0009999999,0.3308221101760864,0.6658080816268921,0.6649350523948669,0.6666666865348816,0.6640625,1275.0,1280.0,0.5,0.5,0.5,240.0,240.0,7.754616737365723,0.0,0.5,0.5,0.5,0.5,240.0,240.0
5,0.7239583134651184,0.7821640372276306,0.7248288989067078,527.0,531.0,0.5648332834243774,0.0009999999,0.449005663394928,0.724836528301239,0.7240124940872192,0.7255208492279053,0.723437488079071,1389.0,1393.0,0.5,0.5,0.5,240.0,240.0,8.410326957702637,0.0,0.5,0.5,0.5,0.5,240.0,240.0
