epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.5630208253860474,0.6123341917991638,0.5559147000312805,1033.0,999.0,0.725728452205658,0.01,0.12520167231559753,0.5616971254348755,0.5777683854103088,0.5695833563804626,0.5739583373069763,1401.0,1367.0,0.5,0.5,0.5,240.0,240.0,11.235871315002441,0.0,0.5,0.5,0.5,0.5,240.0,240.0
1,0.6447916626930237,0.7023557424545288,0.6462889909744263,680.0,675.0,0.6288250088691711,0.01,0.29465627670288086,0.6474167108535767,0.647519588470459,0.6458333134651184,0.6484375,1245.0,1240.0,0.5,0.48102867603302,0.5,240.0,240.0,0.8096668124198914,0.0,0.5,0.5,0.5,0.5,240.0,240.0
2,0.6786458492279053,0.7372919321060181,0.6752626299858093,627.0,619.0,0.6048160791397095,0.01,0.35135123133659363,0.6739145517349243,0.6762552261352539,0.6734374761581421,0.6776041388511658,1301.0,1293.0,0.5,0.6033767461776733,0.5,240.0,240.0,1.2708595991134644,0.0,0.5,0.5,0.5,0.5,240.0,240.0
3,0.7046874761581421,0.7719129323959351,0.7043182253837585,569.0,567.0,0.573241114616394,0.01,0.4086676836013794,0.7034174799919128,0.7043795585632324,0.7036458253860474,0.7046874761581421,1353.0,1351.0,0.5,0.6489669680595398,0.5,240.0,240.0,1.0737977027893066,0.0,0.5,0.5,0.5,0.5,240.0,240.0
4,0.7484375238418579,0.8166179656982422,0.747021496295929,486.0,486.0,0.5262827277183533,0.0009999999,0.49391087889671326,0.7466474175453186,0.746874988079071,0.746874988079071,0.746874988079071,1434.0,1434.0,0.5354166626930237,0.6631553173065186,0.5373076796531677,222.0,224.0,0.6714900135993958,0.07077835500240326,0.5336021184921265,0.5352697372436523,0.5375000238418579,0.5333333611488342,256.0,258.0
5,0.765625,0.8448943495750427,0.7665874361991882,451.0,443.0,0.491454541683197,0.0009999999,0.5345323085784912,0.766366183757782,0.7683054208755493,0.7651041746139526,0.7692708373069763,1477.0,1469.0,0.7020833492279053,0.764340341091156,0.7072721123695374,136.0,151.0,0.6016591787338257,0.40213891863822937,0.7038617730140686,0.6949495077133179,0.7166666388511658,0.6854166388511658,329.0,344.0
6,0.7833333611488342,0.8516620397567749,0.7799449563026428,424.0,420.0,0.4814120829105377,0.0009999999,0.5605510473251343,0.7797717452049255,0.780793309211731,0.7791666388511658,0.78125,1500.0,1496.0,0.7437499761581421,0.8100650906562805,0.7416666150093079,124.0,124.0,0.5692360401153564,0.4833333194255829,0.7416666746139526,0.7416666746139526,0.7416666746139526,0.7416666746139526,356.0,356.0
7,0.784375011920929,0.8608508706092834,0.7852472066879272,413.0,412.0,0.4707036316394806,0.0009999999,0.5704242587089539,0.7847713828086853,0.785304844379425,0.7848958373069763,0.7854166626930237,1508.0,1507.0,0.5291666388511658,0.6618858575820923,0.5271494388580322,227.0,226.0,0.7296798825263977,0.05622250214219093,0.5289772748947144,0.5281836986541748,0.5270833373069763,0.5291666388511658,254.0,253.0
8,0.7864583134651184,0.8645613193511963,0.7863403558731079,413.0,406.0,0.46158653497695923,0.0009999999,0.5735442042350769,0.7857246398925781,0.7877678871154785,0.7848958373069763,0.7885416746139526,1514.0,1507.0,0.5270833373069763,0.6538063883781433,0.5270832777023315,227.0,227.0,0.8081013560295105,0.05416666716337204,0.5270833373069763,0.5270833373069763,0.5270833373069763,0.5270833373069763,253.0,253.0
9,0.7932291626930237,0.8727254271507263,0.7945100665092468,394.0,395.0,0.4482465386390686,0.0009999999,0.5892308354377747,0.7949512004852295,0.7943779230117798,0.7947916388511658,0.7942708134651184,1525.0,1526.0,0.518750011920929,0.6551344990730286,0.5186207890510559,230.0,236.0,0.9453592300415039,0.029166920110583305,0.5126343965530396,0.5144032835960388,0.5208333134651184,0.5083333253860474,244.0,250.0
10,0.7901041507720947,0.8740876913070679,0.7905840277671814,407.0,395.0,0.4448467791080475,9.999999e-05,0.5824550986289978,0.7892534732818604,0.7929769158363342,0.7880208492279053,0.7942708134651184,1525.0,1513.0,0.5958333611488342,0.7185004353523254,0.604038417339325,188.0,195.0,0.6280239224433899,0.20212098956108093,0.6022849678993225,0.5995893478393555,0.6083333492279053,0.59375,285.0,292.0
11,0.8036458492279053,0.8886888027191162,0.80252605676651,383.0,373.0,0.42488807439804077,9.999999e-05,0.6063945889472961,0.8018176555633545,0.8047120571136475,0.8005208373069763,0.8057291507720947,1547.0,1537.0,0.7541666626930237,0.808715283870697,0.7556954026222229,116.0,120.0,0.5408785343170166,0.5083923935890198,0.7552684545516968,0.7520661354064941,0.7583333253860474,0.75,360.0,364.0
12,0.815625011920929,0.8925982713699341,0.813266396522522,362.0,353.0,0.4174598753452301,9.999999e-05,0.6277325749397278,0.8126190900802612,0.8152799606323242,0.8114583492279053,0.8161458373069763,1567.0,1558.0,0.7291666865348816,0.7875282168388367,0.7323716878890991,127.0,131.0,0.590899646282196,0.4625590145587921,0.7331990003585815,0.7293388247489929,0.7354166507720947,0.7270833253860474,349.0,353.0
13,0.8296874761581421,0.9021137356758118,0.8288490176200867,328.0,329.0,0.40151819586753845,9.999999e-05,0.6579170823097229,0.8293622732162476,0.8287350535392761,0.8291666507720947,0.8286458253860474,1591.0,1592.0,0.7416666746139526,0.799303412437439,0.7466841340065002,120.0,125.0,0.5709995627403259,0.48962917923927307,0.7461739182472229,0.7422680258750916,0.75,0.7395833134651184,355.0,360.0
14,0.8291666507720947,0.903678297996521,0.8258644342422485,338.0,329.0,0.3994520604610443,9.999999e-05,0.6527341604232788,0.8249242901802063,0.8278388381004333,0.8239583373069763,0.8286458253860474,1591.0,1582.0,0.7395833134651184,0.8071245551109314,0.742275595664978,121.0,128.0,0.5405008792877197,0.4813731610774994,0.7446908354759216,0.7371663451194763,0.7479166388511658,0.7333333492279053,352.0,359.0
