epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.660937488079071,0.6359039545059204,0.6516464948654175,912.0,897.0,0.7092425227165222,0.01,0.3083547353744507,0.6538732051849365,0.6238994002342224,0.6200000047683716,0.6578124761581421,1503.0,1488.0,0.5,0.48500218987464905,0.5,240.0,240.0,2.1015913486480713,0.0,0.5,0.5,0.5,0.5,240.0,240.0
1,0.7796875238418579,0.8629143238067627,0.7743183970451355,436.0,426.0,0.46435868740081787,0.01,0.5520085692405701,0.7758272290229797,0.7769633531570435,0.7729166746139526,0.778124988079071,1494.0,1484.0,0.48750001192092896,0.46329212188720703,0.4861057698726654,249.0,242.0,1.3341584205627441,-0.02272787131369114,0.4862113893032074,0.4883720874786377,0.48124998807907104,0.4958333373069763,238.0,231.0
2,0.8510416746139526,0.9241690039634705,0.8469218015670776,290.0,300.0,0.35100510716438293,0.01,0.6933209896087646,0.8482843041419983,0.8445596098899841,0.8489583134651184,0.84375,1620.0,1630.0,0.5083333253860474,0.5112218260765076,0.48995575308799744,247.0,229.0,0.9283660054206848,0.007835189811885357,0.5121332406997681,0.5043290257453918,0.4854166805744171,0.5229166746139526,251.0,233.0
3,0.9041666388511658,0.9587639570236206,0.899976372718811,195.0,188.0,0.25918832421302795,0.01,0.8008756041526794,0.8993021845817566,0.9017250537872314,0.8984375,0.9020833373069763,1732.0,1725.0,0.5770833492279053,0.545998215675354,0.534498929977417,235.0,174.0,1.3670048713684082,0.14467842876911163,0.5791925191879272,0.584725558757782,0.5104166865348816,0.637499988079071,306.0,245.0
4,0.903124988079071,0.9647454023361206,0.9010451436042786,193.0,186.0,0.24014347791671753,0.01,0.8028385639190674,0.900191605091095,0.9027705192565918,0.8994791507720947,0.903124988079071,1734.0,1727.0,0.5291666388511658,0.5350759625434875,0.47439783811569214,269.0,191.0,1.0173850059509277,0.0409889854490757,0.5212631225585938,0.5248756408691406,0.43958333134651184,0.6020833253860474,289.0,211.0
5,0.9494791626930237,0.9876552820205688,0.948494553565979,100.0,98.0,0.14328765869140625,0.01,0.8971031308174133,0.9480152130126953,0.9489051103591919,0.9479166865348816,0.9489583373069763,1822.0,1820.0,0.5666666626930237,0.5590038895606995,0.5529863238334656,223.0,195.0,1.1493961811065674,0.12973318994045258,0.5577349066734314,0.5685840845108032,0.5354166626930237,0.59375,285.0,257.0
6,0.9239583611488342,0.9763293862342834,0.922210156917572,151.0,147.0,0.19491133093833923,0.01,0.8450430631637573,0.9219430088996887,0.9232776761054993,0.9213541746139526,0.9234374761581421,1773.0,1769.0,0.5291666388511658,0.5201432704925537,0.527050256729126,228.0,225.0,2.108297824859619,0.05628156661987305,0.5271464586257935,0.5283018946647644,0.5249999761581421,0.53125,255.0,252.0
7,0.9416666626930237,0.9801592230796814,0.9398539066314697,114.0,117.0,0.17454583942890167,0.0009999999,0.8798830509185791,0.9407848715782166,0.9391575455665588,0.940625011920929,0.9390624761581421,1803.0,1806.0,0.5375000238418579,0.5754491686820984,0.5375000238418579,222.0,222.0,2.062696933746338,0.07500000298023224,0.5375000238418579,0.5375000238418579,0.5375000238418579,0.5375000238418579,258.0,258.0
8,0.9781249761581421,0.998044490814209,0.9773613810539246,44.0,43.0,0.07397596538066864,0.0009999999,0.954798698425293,0.9771549105644226,0.9775924682617188,0.9770833253860474,0.9776041507720947,1877.0,1876.0,0.5625,0.5917057991027832,0.5668431520462036,208.0,208.0,1.879148244857788,0.13325804471969604,0.5661351680755615,0.5666666626930237,0.5666666626930237,0.5666666626930237,272.0,272.0
