Name,ChiSquareRanking
wavelet_LL_firstorder_TotalEnergy,0.31213226436004
log_sigma_2_mm_3D_ngtdm_Coarseness,0.307831138944774
LBP_r10_51,0.303987638168895
log_sigma_4_5_mm_3D_firstorder_InterquartileRange,0.299484875223339
log_sigma_2_mm_3D_glrlm_GrayLevelNonUniformity,0.296628607785097
original_firstorder_Energy,0.295677132881508
original_firstorder_TotalEnergy,0.295677132881508
log_sigma_3_5_mm_3D_firstorder_Energy,0.295677132881508
log_sigma_3_5_mm_3D_firstorder_TotalEnergy,0.295677132881508
log_sigma_4_5_mm_3D_glrlm_ShortRunHighGrayLevelEmphasis,0.294012797395139
log_sigma_3_5_mm_3D_ngtdm_Coarseness,0.291636834854498
log_sigma_3_5_mm_3D_glrlm_GrayLevelNonUniformity,0.290212202932142
log_sigma_3_5_mm_3D_glszm_SmallAreaHighGrayLevelEmphasis,0.284994711270432
wavelet_HL_firstorder_Kurtosis,0.282152950816463
log_sigma_4_mm_3D_firstorder_Energy,0.281916271330934
log_sigma_4_mm_3D_firstorder_TotalEnergy,0.281916271330934
log_sigma_3_mm_3D_glrlm_GrayLevelNonUniformity,0.281916271330933
log_sigma_4_mm_3D_firstorder_Median,0.281679612558475
wavelet_HH_glcm_InverseVariance,0.28096976076843
wavelet_LH_gldm_DependenceNonUniformity,0.280023583211848
log_sigma_4_mm_3D_glrlm_RunLengthNonUniformity,0.279787091042991
log_sigma_4_mm_3D_glrlm_ShortRunEmphasis,0.278604944782474
LBP_r10_49,0.275437997979987
log_sigma_5_mm_3D_firstorder_InterquartileRange,0.273645718805262
log_sigma_2_mm_3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.270816138857121
log_sigma_1_5_mm_3D_glrlm_RunEntropy,0.270344847990449
log_sigma_4_mm_3D_glrlm_ShortRunHighGrayLevelEmphasis,0.269638076654749
log_sigma_5_5_mm_3D_glrlm_ShortRunHighGrayLevelEmphasis,0.269402530308895
wavelet_HH_firstorder_Energy,0.268931503930209
wavelet_HH_firstorder_TotalEnergy,0.268931503930209
log_sigma_5_mm_3D_gldm_SmallDependenceEmphasis,0.268696023952206
log_sigma_5_5_mm_3D_firstorder_RobustMeanAbsoluteDeviation,0.267048286622904
log_sigma_6_0_mm_3D_glrlm_ShortRunHighGrayLevelEmphasis,0.266577705454719
log_sigma_2_5_mm_3D_glrlm_GrayLevelNonUniformity,0.266342448497526
log_sigma_6_0_mm_3D_firstorder_Energy,0.265166501102361
log_sigma_6_0_mm_3D_firstorder_TotalEnergy,0.265166501102361
log_sigma_5_5_mm_3D_glrlm_ShortRunEmphasis,0.259295309267575
log_sigma_3_5_mm_3D_glrlm_ShortRunHighGrayLevelEmphasis,0.256716575310684
wavelet_HH_glszm_SizeZoneNonUniformity,0.256458107812873
log_sigma_6_0_mm_3D_firstorder_Uniformity,0.25437475396078
log_sigma_5_5_mm_3D_glcm_JointEnergy,0.25409705407461
log_sigma_5_mm_3D_glcm_Imc1,0.253438694464958
wavelet_HL_glcm_MCC,0.251801518623818
LBP_r10_55,0.250544266263104
wavelet_LH_glrlm_ShortRunHighGrayLevelEmphasis,0.250399172307204
log_sigma_3_5_mm_3D_glrlm_ShortRunEmphasis,0.24993191911083
log_sigma_3_5_mm_3D_glrlm_RunLengthNonUniformity,0.247597131478944
LBP_r10_102,0.246980485097843
log_sigma_5_mm_3D_glrlm_ShortRunEmphasis,0.245497948684133
log_sigma_3_5_mm_3D_gldm_DependenceVariance,0.243400804965498
wavelet_LL_glszm_LargeAreaHighGrayLevelEmphasis,0.243400804965497
log_sigma_5_mm_3D_glcm_MaximumProbability,0.242469401988589
log_sigma_5_5_mm_3D_firstorder_Median,0.240375246887493
log_sigma_4_5_mm_3D_glrlm_ShortRunEmphasis,0.23944518373455
log_sigma_1_5_mm_3D_glrlm_GrayLevelNonUniformity,0.232946544009378
log_sigma_6_0_mm_3D_glrlm_ShortRunEmphasis,0.232946544009378
log_sigma_5_5_mm_3D_glrlm_RunLengthNonUniformity,0.231788282716107
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.231325168722635
original_glrlm_GrayLevelNonUniformity,0.230399268997406
log_sigma_5_5_mm_3D_firstorder_MeanAbsoluteDeviation,0.23016786267398
log_sigma_4_5_mm_3D_firstorder_RobustMeanAbsoluteDeviation,0.229242512949764
wavelet_LH_glcm_Imc1,0.228780003963414
log_sigma_2_5_mm_3D_firstorder_Mean,0.228317605969705
log_sigma_1_5_mm_3D_gldm_GrayLevelNonUniformity,0.228086448691347
log_sigma_5_mm_3D_firstorder_90Percentile,0.22785531927682
wavelet_HL_glcm_ClusterProminence,0.227624217764844
wavelet_LL_glrlm_RunEntropy,0.223469206515282
log_sigma_6_0_mm_3D_firstorder_Median,0.223469206515281
log_sigma_4_5_mm_3D_firstorder_Median,0.223238642617342
LBP_r10_48,0.222299180396861
log_sigma_5_mm_3D_glrlm_RunLengthNonUniformity,0.221855863226422
log_sigma_5_5_mm_3D_glszm_SizeZoneNonUniformity,0.221833590612071
wavelet_HL_firstorder_Energy,0.22139516783338
wavelet_HL_firstorder_TotalEnergy,0.22139516783338
log_sigma_6_0_mm_3D_gldm_SmallDependenceEmphasis,0.221164863646674
log_sigma_4_5_mm_3D_glcm_SumEntropy,0.220474125619829
log_sigma_3_mm_3D_firstorder_Mean,0.220474125619829
log_sigma_4_mm_3D_firstorder_90Percentile,0.220474125619828
log_sigma_5_5_mm_3D_glcm_Imc1,0.219783650261503
