epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.5,0.5009030699729919,0.4935559034347534,1213.0,1200.0,0.7522158026695251,0.01,-0.00672449916601181,0.4970908761024475,0.4972769021987915,0.4945833384990692,0.5,1200.0,1187.0,0.5,0.5,0.5,240.0,240.0,8.551722526550293,0.0,0.5,0.5,0.5,0.5,240.0,240.0
1,0.565625011920929,0.5835119485855103,0.570679247379303,820.0,832.0,0.704537570476532,0.01,0.14005373418331146,0.5699365735054016,0.5693581700325012,0.5729166865348816,0.5666666626930237,1088.0,1100.0,0.5,0.5,0.5,240.0,240.0,19.936687469482422,0.0,0.5,0.5,0.5,0.5,240.0,240.0
2,0.6083333492279053,0.641112744808197,0.6027517318725586,762.0,759.0,0.6692176461219788,0.01,0.20795294642448425,0.6047309041023254,0.6040688753128052,0.6031249761581421,0.604687511920929,1161.0,1158.0,0.5,0.543506920337677,0.5,240.0,240.0,2.9688100814819336,0.0,0.5,0.5,0.5,0.5,240.0,240.0
3,0.6255208253860474,0.675622284412384,0.6220840215682983,727.0,722.0,0.6490899920463562,0.01,0.245431050658226,0.6224063038825989,0.6229764819145203,0.6213541626930237,0.6239583492279053,1198.0,1193.0,0.5,0.5,0.5,240.0,240.0,4.529148578643799,0.0,0.5,0.5,0.5,0.5,240.0,240.0
4,0.6651041507720947,0.7153770923614502,0.6659144759178162,640.0,644.0,0.6258633732795715,0.0009999999,0.33130085468292236,0.6660994291305542,0.6652806401252747,0.6666666865348816,0.6645833253860474,1276.0,1280.0,0.5,0.5,0.5,240.0,240.0,4.707760810852051,0.0,0.5,0.5,0.5,0.5,240.0,240.0
5,0.6911458373069763,0.7526217699050903,0.6908606290817261,591.0,598.0,0.5909082889556885,0.0009999999,0.3807680904865265,0.6911937594413757,0.6896730661392212,0.692187488079071,0.6885416507720947,1322.0,1329.0,0.5,0.5,0.5,240.0,240.0,9.73121452331543,0.0,0.5,0.5,0.5,0.5,240.0,240.0
