epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.6260416507720947,0.7347438335418701,0.6133953928947449,825.0,784.0,0.7186346650123596,0.01,0.23624807596206665,0.6153898239135742,0.6676557660102844,0.65625,0.6276041865348816,1616.0,1575.0,0.5062500238418579,0.508875846862793,0.5667778253555298,165.0,313.0,2.2475125789642334,0.005995043087750673,0.5081174373626709,0.5015923380851746,0.65625,0.3479166626930237,167.0,315.0
1,0.7760416865348816,0.8526037931442261,0.7705034017562866,435.0,449.0,0.479194313287735,0.01,0.5405462384223938,0.7725600600242615,0.7678386569023132,0.7734375,0.7661458253860474,1471.0,1485.0,0.637499988079071,0.7395051717758179,0.6326932311058044,177.0,172.0,1.1000893115997314,0.27280959486961365,0.6384729146957397,0.6378947496414185,0.6312500238418579,0.6416666507720947,308.0,303.0
2,0.8619791865348816,0.935878574848175,0.8580542802810669,274.0,271.0,0.323405385017395,0.01,0.7166687250137329,0.8577331304550171,0.858633279800415,0.8572916388511658,0.8588541746139526,1649.0,1646.0,0.6916666626930237,0.7950499653816223,0.6968697309494019,147.0,141.0,0.9890733361244202,0.39993414282798767,0.6996833086013794,0.702531635761261,0.6937500238418579,0.706250011920929,339.0,333.0
3,0.9135416746139526,0.9672796130180359,0.9087207317352295,175.0,176.0,0.2309895008802414,0.01,0.8174272179603577,0.9088089466094971,0.9083810448646545,0.9088541865348816,0.9083333611488342,1744.0,1745.0,0.668749988079071,0.7610655426979065,0.6683254837989807,157.0,163.0,0.998559832572937,0.3334556519985199,0.6696594953536987,0.6646090745925903,0.6729166507720947,0.6604166626930237,317.0,323.0
4,0.9286458492279053,0.9794652462005615,0.9283139109611511,135.0,141.0,0.18350759148597717,0.01,0.8564032316207886,0.9294525384902954,0.926791250705719,0.9296875,0.926562488079071,1779.0,1785.0,0.8125,0.8745095133781433,0.8119550943374634,89.0,92.0,0.7121874690055847,0.6229828000068665,0.8136425018310547,0.8095238208770752,0.8145833611488342,0.8083333373069763,388.0,391.0
5,0.9359375238418579,0.9794344902038574,0.9361727833747864,124.0,121.0,0.17533183097839355,0.01,0.8724825382232666,0.9355432391166687,0.9368805289268494,0.9354166388511658,0.9369791746139526,1799.0,1796.0,0.7562500238418579,0.8345832228660583,0.7564239501953125,117.0,117.0,0.6710758209228516,0.5125447511672974,0.7559038400650024,0.7562500238418579,0.7562500238418579,0.7562500238418579,363.0,363.0
6,0.9552083611488342,0.9924957752227783,0.9557158350944519,84.0,86.0,0.1116923987865448,0.01,0.9115678071975708,0.9563774466514587,0.9552549719810486,0.956250011920929,0.9552083611488342,1834.0,1836.0,0.78125,0.8671723008155823,0.7788413763046265,104.0,110.0,0.6033788919448853,0.5543563961982727,0.779886782169342,0.7736625671386719,0.7833333611488342,0.7708333134651184,370.0,376.0
7,0.9765625,0.9959452152252197,0.9768336415290833,45.0,44.0,0.07092583179473877,0.01,0.9536969661712646,0.9765889644622803,0.9770714044570923,0.9765625,0.9770833253860474,1876.0,1875.0,0.7520833611488342,0.8070962429046631,0.7520833611488342,119.0,119.0,1.260635256767273,0.5041666626930237,0.7520833611488342,0.7520833611488342,0.7520833611488342,0.7520833611488342,361.0,361.0
8,0.9598958492279053,0.9915308952331543,0.9609602689743042,75.0,75.0,0.11252568662166595,0.0009999999,0.9219334721565247,0.9609470963478088,0.9609375,0.9609375,0.9609375,1845.0,1845.0,0.8104166388511658,0.8743208050727844,0.8092592358589172,92.0,91.0,0.6727396845817566,0.6187754273414612,0.8085858821868896,0.8100208640098572,0.8083333373069763,0.8104166388511658,389.0,388.0
9,0.9932291507720947,0.9995408058166504,0.9934934377670288,12.0,13.0,0.028909167274832726,0.0009999999,0.9870027899742126,0.9937657713890076,0.9932326674461365,0.9937499761581421,0.9932291507720947,1907.0,1908.0,0.8104166388511658,0.8947569727897644,0.8130448460578918,89.0,91.0,0.5700684189796448,0.625030517578125,0.8135080337524414,0.8112033009529114,0.8145833611488342,0.8104166388511658,389.0,391.0
