epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.6348958611488342,0.7010513544082642,0.6334335207939148,847.0,822.0,0.674409031867981,0.01,0.2741522192955017,0.6364882588386536,0.6538947224617004,0.6470833420753479,0.6427083611488342,1578.0,1553.0,0.5,0.5,0.5,240.0,240.0,2.9876909255981445,0.0,0.5,0.5,0.5,0.5,240.0,240.0
1,0.7166666388511658,0.7817109823226929,0.7134955525398254,544.0,560.0,0.5612047910690308,0.01,0.42552080750465393,0.7147932052612305,0.71074378490448,0.7166666388511658,0.7083333134651184,1360.0,1376.0,0.5,0.5,0.5,240.0,240.0,4.500141620635986,0.0,0.5,0.5,0.5,0.5,240.0,240.0
2,0.7562500238418579,0.8228803873062134,0.7560421824455261,467.0,471.0,0.5184903740882874,0.01,0.5117329955101013,0.7562993168830872,0.7551975250244141,0.7567708492279053,0.754687488079071,1449.0,1453.0,0.5,0.5052083730697632,0.5,240.0,240.0,2.8660812377929688,0.0,0.5,0.5,0.5,0.5,240.0,240.0
3,0.760937511920929,0.8372282385826111,0.7607919573783875,457.0,464.0,0.49823513627052307,0.01,0.5206152200698853,0.7608909010887146,0.7592111825942993,0.7619791626930237,0.7583333253860474,1456.0,1463.0,0.5,0.5330967903137207,0.5,240.0,240.0,2.8555853366851807,0.0,0.5,0.5,0.5,0.5,240.0,240.0
4,0.7942708134651184,0.874821662902832,0.7944018244743347,396.0,393.0,0.4457833170890808,0.0009999999,0.5893475413322449,0.7941763401031494,0.7949921488761902,0.793749988079071,0.7953125238418579,1527.0,1524.0,0.5,0.6427148580551147,0.5,240.0,240.0,1.438696026802063,0.0,0.5,0.5,0.5,0.5,240.0,240.0
5,0.8374999761581421,0.9051455855369568,0.8353201150894165,318.0,314.0,0.3979233503341675,0.0009999999,0.6711004376411438,0.8347675800323486,0.8361169099807739,0.8343750238418579,0.8364583253860474,1606.0,1602.0,0.5,0.6481879949569702,0.5,240.0,240.0,1.6565401554107666,0.0,0.5,0.5,0.5,0.5,240.0,240.0
