epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.6015625,0.6475597023963928,0.5957437753677368,915.0,960.0,0.7380041480064392,0.01,0.18572324514389038,0.5961847901344299,0.6073619723320007,0.6187499761581421,0.581250011920929,1440.0,1485.0,0.5,0.5,0.5,240.0,240.0,394.6864929199219,0.0,0.5,0.5,0.5,0.5,240.0,240.0
1,0.6546875238418579,0.7133500576019287,0.6514109373092651,670.0,668.0,0.6264335513114929,0.01,0.30376043915748596,0.6512904763221741,0.6517205238342285,0.6510416865348816,0.6520833373069763,1252.0,1250.0,0.5062500238418579,0.5846549272537231,0.5062830448150635,237.0,236.0,0.7048017978668213,0.014553832821547985,0.5082070827484131,0.5073068737983704,0.5062500238418579,0.5083333253860474,244.0,243.0
2,0.65625,0.7046652436256409,0.6519041657447815,654.0,692.0,0.6252975463867188,0.01,0.29956647753715515,0.6546408534049988,0.6465781331062317,0.659375011920929,0.6395833492279053,1228.0,1266.0,0.643750011920929,0.7042057514190674,0.6440273523330688,158.0,197.0,0.6543933749198914,0.2616688907146454,0.6431724429130554,0.6204239130020142,0.6708333492279053,0.5895833373069763,283.0,322.0
3,0.6796875,0.7437741160392761,0.6795494556427002,604.0,635.0,0.5991772413253784,0.01,0.35505780577659607,0.6810804605484009,0.6745258569717407,0.6854166388511658,0.6692708134651184,1285.0,1316.0,0.6312500238418579,0.6819378137588501,0.6334218382835388,176.0,176.0,0.7619689106941223,0.26669514179229736,0.6331663727760315,0.6333333253860474,0.6333333253860474,0.6333333253860474,304.0,304.0
4,0.690625011920929,0.7692943811416626,0.6866133213043213,617.0,572.0,0.5716304183006287,0.01,0.3811831772327423,0.6861976385116577,0.6949333548545837,0.6786458492279053,0.7020833492279053,1348.0,1303.0,0.5145833492279053,0.5433072447776794,0.504737138748169,243.0,216.0,0.8365780115127563,0.04317771643400192,0.5258997678756714,0.5231788158416748,0.4937500059604645,0.550000011920929,264.0,237.0
5,0.7427083253860474,0.8104242086410522,0.7386113405227661,501.0,502.0,0.5355513691902161,0.01,0.4778745770454407,0.7395707964897156,0.7386777997016907,0.739062488079071,0.7385416626930237,1418.0,1419.0,0.7479166388511658,0.8000715970993042,0.7485063076019287,121.0,120.0,0.5551257729530334,0.497964471578598,0.7488433122634888,0.7494781017303467,0.7479166388511658,0.75,360.0,359.0
6,0.753125011920929,0.8244731426239014,0.75417560338974,470.0,475.0,0.5142551064491272,0.01,0.5080190300941467,0.7547745108604431,0.7532467246055603,0.7552083134651184,0.7526041865348816,1445.0,1450.0,0.643750011920929,0.7065689563751221,0.6414662599563599,175.0,166.0,0.665771484375,0.2898032069206238,0.6420965790748596,0.6475583910942078,0.6354166865348816,0.6541666388511658,314.0,305.0
7,0.7671874761581421,0.8396180868148804,0.7637717723846436,449.0,462.0,0.49833944439888,0.01,0.5257137417793274,0.7642177939414978,0.7609933018684387,0.7661458253860474,0.7593749761581421,1458.0,1471.0,0.5604166388511658,0.6080273389816284,0.5619677305221558,209.0,214.0,0.8163923025131226,0.1187305897474289,0.5592562556266785,0.5587629079818726,0.5645833611488342,0.5541666746139526,266.0,271.0
8,0.7906249761581421,0.8622233867645264,0.7848901152610779,411.0,416.0,0.4657142758369446,0.01,0.56948322057724,0.7855598330497742,0.7838960886001587,0.785937488079071,0.7833333611488342,1504.0,1509.0,0.6479166746139526,0.7139583230018616,0.6474679112434387,169.0,170.0,0.6642394661903381,0.29374492168426514,0.6467069983482361,0.6465696692466736,0.6479166746139526,0.6458333134651184,310.0,311.0
9,0.8427083492279053,0.9249187111854553,0.8410881161689758,307.0,303.0,0.35211095213890076,0.0009999999,0.682435154914856,0.8403280973434448,0.8418580293655396,0.8401041626930237,0.8421875238418579,1617.0,1613.0,0.643750011920929,0.6803754568099976,0.6448717713356018,170.0,172.0,0.746941864490509,0.28749388456344604,0.6435483694076538,0.6431535482406616,0.6458333134651184,0.6416666507720947,308.0,310.0
10,0.8692708611488342,0.9500856399536133,0.8689467310905457,250.0,254.0,0.2950451076030731,0.0009999999,0.7376359701156616,0.8695061802864075,0.867983341217041,0.8697916865348816,0.8677083253860474,1666.0,1670.0,0.6770833134651184,0.7378212213516235,0.6762072443962097,154.0,158.0,0.6905444264411926,0.35007336735725403,0.6767697930335999,0.6735537052154541,0.6791666746139526,0.6708333492279053,322.0,326.0
0,0.5895833373069763,0.6351867318153381,0.5763749480247498,970.0,960.0,0.727320671081543,0.01,0.15585841238498688,0.5766580700874329,0.5983263850212097,0.5958333611488342,0.5802083611488342,1440.0,1430.0,0.5,0.5,0.0,480.0,0.0,8295.7880859375,0.0,0.5,0.0,0.0,1.0,480.0,0.0
1,0.6395833492279053,0.6870221495628357,0.6247705817222595,727.0,703.0,0.6558524370193481,0.01,0.25558438897132874,0.6266855597496033,0.6292194128036499,0.6213541626930237,0.6338541507720947,1217.0,1193.0,0.5083333253860474,0.5491015911102295,0.505435049533844,231.0,250.0,0.7113436460494995,-0.001354940701276064,0.5062500238418579,0.4989979863166809,0.518750011920929,0.4791666567325592,230.0,249.0
2,0.6666666865348816,0.7265673875808716,0.6649010181427002,641.0,645.0,0.6126972436904907,0.01,0.33060359954833984,0.6665454506874084,0.6647608876228333,0.6661458611488342,0.6640625,1275.0,1279.0,0.6416666507720947,0.7033007740974426,0.6061429381370544,210.0,138.0,0.6374284029006958,0.2784263789653778,0.6218135952949524,0.6617646813392639,0.5625,0.7124999761581421,342.0,270.0
3,0.7005208134651184,0.7518443465232849,0.6981574296951294,586.0,567.0,0.6000998020172119,0.01,0.39974477887153625,0.6980030536651611,0.7017359137535095,0.6947916746139526,0.7046874761581421,1353.0,1334.0,0.6916666626930237,0.7794422507286072,0.686375617980957,152.0,147.0,0.6084192991256714,0.37711286544799805,0.6876262426376343,0.6905263066291809,0.6833333373069763,0.6937500238418579,333.0,328.0
4,0.7114583253860474,0.7787129878997803,0.70802241563797,560.0,560.0,0.5717018842697144,0.01,0.4169546961784363,0.709061861038208,0.7083333134651184,0.7083333134651184,0.7083333134651184,1360.0,1360.0,0.625,0.696226179599762,0.622916579246521,182.0,179.0,0.6406837701797485,0.2479502558708191,0.6229166388511658,0.6247379183769226,0.6208333373069763,0.6270833611488342,301.0,298.0
5,0.7130208611488342,0.7888678908348083,0.7140982151031494,546.0,555.0,0.5556024312973022,0.01,0.42679834365844727,0.7140077948570251,0.7122861742973328,0.715624988079071,0.7109375,1365.0,1374.0,0.65625,0.7474565505981445,0.6614498496055603,159.0,170.0,0.5793812870979309,0.31476840376853943,0.660453736782074,0.6537678241729736,0.668749988079071,0.6458333134651184,310.0,321.0
6,0.7354166507720947,0.8130006790161133,0.7331109642982483,511.0,514.0,0.5278900861740112,0.01,0.466455340385437,0.7339088320732117,0.7327092885971069,0.7338541746139526,0.7322916388511658,1406.0,1409.0,0.6312500238418579,0.675171434879303,0.6362023949623108,173.0,179.0,0.6504845023155212,0.2666788697242737,0.6337365508079529,0.6316872239112854,0.6395833492279053,0.6270833611488342,301.0,307.0
7,0.7208333611488342,0.7860013246536255,0.7203240990638733,526.0,554.0,0.5758653283119202,0.0009999999,0.4379121959209442,0.7230967879295349,0.7156057357788086,0.7260416746139526,0.7114583253860474,1366.0,1394.0,0.65625,0.7255338430404663,0.661817193031311,159.0,169.0,0.606171727180481,0.3167950212955475,0.6617876291275024,0.655102014541626,0.668749988079071,0.6479166746139526,311.0,321.0
